batch,order,route,n_workers,iters,cols,out_cols,rows,trait,min_us,median_us,p90_us,mean_us,stdev_us
1,1,ggml,4,1000,2048,5632,1,q4_K_8x8_q8_K,71.833,83.958,107.792,90.301,23.995
1,2,hpx,4,1000,2048,5632,1,q4_K_8x8_q8_K,55.208,62.792,68.666,64.119,7.515
2,1,hpx,4,1000,2048,5632,1,q4_K_8x8_q8_K,55.375,62.916,73.125,65.076,7.716
2,2,ggml,4,1000,2048,5632,1,q4_K_8x8_q8_K,71.334,79.125,94.833,85.866,53.768
3,1,ggml,4,1000,2048,5632,1,q4_K_8x8_q8_K,71.709,82.041,130.958,97.267,63.260
3,2,hpx,4,1000,2048,5632,1,q4_K_8x8_q8_K,54.708,62.792,73.250,65.468,8.545
