threads,iters,cols,out_cols,rows,trait,min_us,median_us,p90_us,mean_us,stdev_us
1,1000,2048,5632,1,q4_K_8x8_q8_K,147.375,151.666,165.583,158.517,74.046
2,1000,2048,5632,1,q4_K_8x8_q8_K,90.584,96.750,110.666,99.989,9.876
4,1000,2048,5632,1,q4_K_8x8_q8_K,71.167,82.333,97.958,85.390,13.529
8,1000,2048,5632,1,q4_K_8x8_q8_K,100.584,167.958,179.625,162.645,25.030
