token,lowered_ms,fallback_ms,packet_ms
1,2048.982,61.789,3149.555
2,371.311,56.094,3232.062
3,586.981,65.596,2071.484
4,2180.877,52.553,1848.237
5,356.760,59.224,1184.246
6,369.729,54.411,1466.821
7,530.529,57.321,1470.134
8,1840.240,63.380,1128.240
9,1675.983,52.017,1619.859
10,1687.958,56.544,2353.890
11,501.042,64.917,1822.239
12,1058.361,56.811,1857.869
13,393.798,70.242,1471.544
14,1458.669,57.369,2970.959
15,443.549,62.450,2115.564
